"rt","stimulus","response","phase","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","url","question_order","view_history","objOne","objTwo","key","resp_opt_1","resp_opt_2","resp_opt_3","resp_opt_4","resp_opt_5","resp_opt_6"
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">Serena Williams</div><div class=""lowerleft"">key</div><div class=""lowerright"">wrench</div></div>","null","enc","html-keyboard-response","29","74617","0.0-7.0-0.22","001","","","","","key","wrench","Serena Williams","","","","","",""
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">An Ice Rink</div><div class=""lowerleft"">horseshoe</div><div class=""lowerright"">basketball</div></div>","null","enc","html-keyboard-response","30","75620","0.0-7.0-0.23","001","","","","","horseshoe","basketball","An Ice Rink","","","","","",""
"7039","","","ret_instr","instructions","31","83161","0.0-8.0","001","","","","[{""page_index"":0,""viewing_time"":2990},{""page_index"":1,""viewing_time"":1176},{""page_index"":2,""viewing_time"":528},{""page_index"":3,""viewing_time"":746},{""page_index"":4,""viewing_time"":471},{""page_index"":5,""viewing_time"":1128}]","","","","","","","","",""
"","","","ret","html-keyboard-response","32","84663","0.0-9.0-0.0","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"1872","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">Timothee Chalamet</div><div class=""resp_opt_1"">1: skateboard</div><div class=""resp_opt_2"">2: hammer</div><div class=""resp_opt_3"">3: blender</div><div class=""resp_opt_4"">4: battery</div><div class=""resp_opt_5"">5: key</div><div class=""resp_opt_6"">6:  toothbrush</div></div>","1","ret","html-keyboard-response","32","86537","0.0-9.0-0.0","001","","","","","","","Timothee Chalamet","skateboard","hammer","blender","battery","key","toothbrush"
"","","","ret","html-keyboard-response","33","87538","0.0-9.0-0.1","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"198","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">Hillary Clinton</div><div class=""resp_opt_1"">1: disco ball</div><div class=""resp_opt_2"">2: dart board</div><div class=""resp_opt_3"">3: skateboard</div><div class=""resp_opt_4"">4: sewing machine</div><div class=""resp_opt_5"">5: locker</div><div class=""resp_opt_6"">6:  hammer</div></div>","1","ret","html-keyboard-response","33","87737","0.0-9.0-0.1","001","","","","","","","Hillary Clinton","disco ball","dart board","skateboard","sewing machine","locker","hammer"
"","","","ret","html-keyboard-response","34","88738","0.0-9.0-0.2","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"449","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">Mindy Kaling</div><div class=""resp_opt_1"">1: horseshoe</div><div class=""resp_opt_2"">2: arrow</div><div class=""resp_opt_3"">3: toothbrush</div><div class=""resp_opt_4"">4: skateboard</div><div class=""resp_opt_5"">5: chalk</div><div class=""resp_opt_6"">6:  toaster</div></div>","2","ret","html-keyboard-response","34","89188","0.0-9.0-0.2","001","","","","","","","Mindy Kaling","horseshoe","arrow","toothbrush","skateboard","chalk","toaster"
"","","","ret","html-keyboard-response","35","90190","0.0-9.0-0.3","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"38","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">Ryan Reynolds</div><div class=""resp_opt_1"">1: umbrella</div><div class=""resp_opt_2"">2: harmonica</div><div class=""resp_opt_3"">3: bullet</div><div class=""resp_opt_4"">4: guitar case</div><div class=""resp_opt_5"">5: hammer</div><div class=""resp_opt_6"">6:  sand castle</div></div>","3","ret","html-keyboard-response","35","90229","0.0-9.0-0.3","001","","","","","","","Ryan Reynolds","umbrella","harmonica","bullet","guitar case","hammer","sand castle"
"","","","ret","html-keyboard-response","36","91230","0.0-9.0-0.4","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"92","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">A Restaurant</div><div class=""resp_opt_1"">1: tampon</div><div class=""resp_opt_2"">2: toaster</div><div class=""resp_opt_3"">3: kite</div><div class=""resp_opt_4"">4: wheelchair</div><div class=""resp_opt_5"">5: battery</div><div class=""resp_opt_6"">6:  mouse trap</div></div>","4","ret","html-keyboard-response","36","91323","0.0-9.0-0.4","001","","","","","","","A Restaurant","tampon","toaster","kite","wheelchair","battery","mouse trap"
"","","","ret","html-keyboard-response","37","92325","0.0-9.0-0.5","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"66","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">Audrey Hepburn</div><div class=""resp_opt_1"">1: basketball</div><div class=""resp_opt_2"">2: disco ball</div><div class=""resp_opt_3"">3: drum sticks</div><div class=""resp_opt_4"">4: battery</div><div class=""resp_opt_5"">5: bow</div><div class=""resp_opt_6"">6:  funnel</div></div>","5","ret","html-keyboard-response","37","92392","0.0-9.0-0.5","001","","","","","","","Audrey Hepburn","basketball","disco ball","drum sticks","battery","bow","funnel"
"","","","ret","html-keyboard-response","38","93393","0.0-9.0-0.6","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"89","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">A Theater</div><div class=""resp_opt_1"">1: skateboard</div><div class=""resp_opt_2"">2: disco ball</div><div class=""resp_opt_3"">3: funnel</div><div class=""resp_opt_4"">4: dog house</div><div class=""resp_opt_5"">5: cannon</div><div class=""resp_opt_6"">6:  hammer</div></div>","6","ret","html-keyboard-response","38","93483","0.0-9.0-0.6","001","","","","","","","A Theater","skateboard","disco ball","funnel","dog house","cannon","hammer"
"","","","ret","html-keyboard-response","39","94485","0.0-9.0-0.7","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"121","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">A Lecture Hall</div><div class=""resp_opt_1"">1: cannon</div><div class=""resp_opt_2"">2: tampon</div><div class=""resp_opt_3"">3: guitar case</div><div class=""resp_opt_4"">4: sewing machine</div><div class=""resp_opt_5"">5: blender</div><div class=""resp_opt_6"">6:  disco ball</div></div>","1","ret","html-keyboard-response","39","94606","0.0-9.0-0.7","001","","","","","","","A Lecture Hall","cannon","tampon","guitar case","sewing machine","blender","disco ball"
"","","","ret","html-keyboard-response","40","95608","0.0-9.0-0.8","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"19","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">A Dune</div><div class=""resp_opt_1"">1: snowboard</div><div class=""resp_opt_2"">2: toaster</div><div class=""resp_opt_3"">3: microscope</div><div class=""resp_opt_4"">4: arrow</div><div class=""resp_opt_5"">5: battery</div><div class=""resp_opt_6"">6:  horseshoe</div></div>","2","ret","html-keyboard-response","40","95627","0.0-9.0-0.8","001","","","","","","","A Dune","snowboard","toaster","microscope","arrow","battery","horseshoe"
"","","","ret","html-keyboard-response","41","96628","0.0-9.0-0.9","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"76","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">Sandra Bullock</div><div class=""resp_opt_1"">1: dart board</div><div class=""resp_opt_2"">2: ruler</div><div class=""resp_opt_3"">3: condom</div><div class=""resp_opt_4"">4: locker</div><div class=""resp_opt_5"">5: banjo</div><div class=""resp_opt_6"">6:  battery</div></div>","4","ret","html-keyboard-response","41","96705","0.0-9.0-0.9","001","","","","","","","Sandra Bullock","dart board","ruler","condom","locker","banjo","battery"
"","","","ret","html-keyboard-response","42","97706","0.0-9.0-0.10","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"12","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">Robin Williams</div><div class=""resp_opt_1"">1: horseshoe</div><div class=""resp_opt_2"">2: harmonica</div><div class=""resp_opt_3"">3: frisbee</div><div class=""resp_opt_4"">4: toothbrush</div><div class=""resp_opt_5"">5: drum sticks</div><div class=""resp_opt_6"">6:  golf ball</div></div>","5","ret","html-keyboard-response","42","97718","0.0-9.0-0.10","001","","","","","","","Robin Williams","horseshoe","harmonica","frisbee","toothbrush","drum sticks","golf ball"
"","","","ret","html-keyboard-response","43","98720","0.0-9.0-0.11","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"51","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">Rosa Parks</div><div class=""resp_opt_1"">1: calculator</div><div class=""resp_opt_2"">2: measuring cup</div><div class=""resp_opt_3"">3: drum sticks</div><div class=""resp_opt_4"">4: swing</div><div class=""resp_opt_5"">5: windmill</div><div class=""resp_opt_6"">6:  ruler</div></div>","6","ret","html-keyboard-response","43","98771","0.0-9.0-0.11","001","","","","","","","Rosa Parks","calculator","measuring cup","drum sticks","swing","windmill","ruler"
"","","","ret","html-keyboard-response","44","99772","0.0-9.0-0.12","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"45","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">A Bathroom</div><div class=""resp_opt_1"">1: condom</div><div class=""resp_opt_2"">2: bow</div><div class=""resp_opt_3"">3: measuring cup</div><div class=""resp_opt_4"">4: swing</div><div class=""resp_opt_5"">5: key</div><div class=""resp_opt_6"">6:  soccer ball</div></div>","3","ret","html-keyboard-response","44","99818","0.0-9.0-0.12","001","","","","","","","A Bathroom","condom","bow","measuring cup","swing","key","soccer ball"
"","","","ret","html-keyboard-response","45","100819","0.0-9.0-0.13","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"62","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">A Cabin</div><div class=""resp_opt_1"">1: dart board</div><div class=""resp_opt_2"">2: umbrella</div><div class=""resp_opt_3"">3: lawn mower</div><div class=""resp_opt_4"">4: basketball</div><div class=""resp_opt_5"">5: wheelchair</div><div class=""resp_opt_6"">6:  sand castle</div></div>","1","ret","html-keyboard-response","45","100882","0.0-9.0-0.13","001","","","","","","","A Cabin","dart board","umbrella","lawn mower","basketball","wheelchair","sand castle"
"","","","ret","html-keyboard-response","46","101884","0.0-9.0-0.14","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
"1459","<div style=""width: 100vmin; height:100vmin; font-size: 4vmin; position: relative;""><div class=""center"">Oprah</div><div class=""resp_opt_1"">1: harmonica</div><div class=""resp_opt_2"">2: mattress</div><div class=""resp_opt_3"">3: banjo</div><div class=""resp_opt_4"">4: condom</div><div class=""resp_opt_5"">5: blender</div><div class=""resp_opt_6"">6:  handcuffs</div></div>","6","ret","html-keyboard-response","46","103343","0.0-9.0-0.14","001","","","","","","","Oprah","harmonica","mattress","banjo","condom","blender","handcuffs"
"","","","ret","html-keyboard-response","47","104345","0.0-9.0-0.15","001","","","","","","","function() {return ret_trials[cc].key}","function() {return ret_trials[cc].resp_opt_1}","function() {return ret_trials[cc].resp_opt_2}","function() {return ret_trials[cc].resp_opt_3}","function() {return ret_trials[cc].resp_opt_4}","function() {return ret_trials[cc].resp_opt_5}","function() {return ret_trials[cc].resp_opt_6}"
